City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,freetown,8.484,-13.2299,28.2,74,100,2.84,SL,1688902430
137,carupano,10.6678,-63.2585,26.33,83,53,4.1,VE,1688902430
138,pailin,12.849,102.6093,25.07,87,100,4.01,KH,1688902430
139,khandyga,62.6667,135.6,14.86,34,11,4.29,RU,1688902430
140,kusatsu,35.0167,135.9667,27.69,86,98,1.76,JP,1688902430
141,yuzhno-kurilsk,44.0306,145.8556,15.78,94,84,5.13,RU,1688902430
142,tsarevo,42.1667,27.85,28.02,39,32,4.85,BG,1688902431
143,nantucket,41.2835,-70.0995,23.03,100,100,0.0,US,1688902431
144,vorona teodoru,47.55,26.6,27.99,44,73,7.09,RO,1688902431
145,sarmiento,-45.5882,-69.07,1.77,86,99,1.71,AR,1688902431
146,bokhan,53.153,103.7714,21.62,86,95,2.78,RU,1688902431
147,noumea,-22.2763,166.4572,21.67,99,51,1.73,NC,1688902431
148,punta arenas,-53.15,-70.9167,-0.94,93,0,4.63,CL,1688902432
149,khowy,38.5503,44.9521,33.28,17,19,7.91,IR,1688902432
150,ar rudayyif,34.3827,8.1555,41.87,12,1,4.78,TN,1688902432
151,arraial do cabo,-22.9661,-42.0278,21.98,83,75,5.66,BR,1688902432
152,papatowai,-46.5619,169.4708,7.84,96,100,2.5,NZ,1688902432
153,merizo village,13.2658,144.6691,26.31,81,100,9.21,GU,1688902432
154,anloga,5.7947,0.8973,28.34,72,95,3.98,GH,1688902432
155,windhoek,-22.5594,17.0832,17.11,26,0,7.2,NA,1688902315
156,enewetak,11.3474,162.3373,28.26,81,100,7.89,MH,1688902433
157,siyabuswa,-25.1132,29.0445,23.68,16,0,8.1,ZA,1688902433
158,yellowknife,62.456,-114.3525,13.29,58,75,5.14,CA,1688902433
159,san rafael del sur,11.8485,-86.4384,25.54,83,78,4.7,NI,1688902433
160,touba,8.2833,-7.6833,29.26,58,67,1.92,CI,1688902433
161,klyuchi,52.2667,79.1667,23.88,40,79,4.0,RU,1688902433
162,fukuecho,32.6881,128.8419,26.44,90,48,7.29,JP,1688902434
163,pemba,-12.974,40.5178,26.39,69,75,3.6,MZ,1688902434
164,broome,42.2506,-75.833,19.7,88,100,3.09,US,1688902434
165,pedernales,18.0384,-71.744,28.95,69,94,1.62,DO,1688902434
166,mtsensk,53.2766,36.5733,21.83,59,100,6.52,RU,1688902216
167,happy valley-goose bay,53.3168,-60.3315,19.17,77,75,0.0,CA,1688902434
168,island harbour,50.724,-1.2758,21.84,72,100,6.5,GB,1688902434
169,margate,51.3813,1.3862,19.27,83,100,1.34,GB,1688902435
170,dudinka,69.4058,86.1778,15.78,54,88,6.26,RU,1688902435
171,sao borja,-28.6606,-56.0044,12.75,84,67,3.1,BR,1688902435
172,chonchi,-42.6128,-73.8092,5.07,95,99,1.0,CL,1688902435
173,cannonvale,-20.2833,148.7,19.66,69,24,1.93,AU,1688902435
174,fale old settlement,-9.3852,-171.2468,28.58,80,91,7.91,TK,1688902435
175,roma,43.2128,-75.4557,21.51,94,0,2.57,US,1688902436
176,filadelfia,39.9523,-75.1638,24.56,95,100,2.06,US,1688902436
177,lefkada,38.8275,20.7019,29.95,58,0,5.14,GR,1688902436
178,dunedin,-45.8742,170.5036,9.89,88,100,1.79,NZ,1688902436
179,vila velha,-20.3297,-40.2925,21.64,88,0,1.03,BR,1688902436
180,mersa matruh,31.3525,27.2453,29.11,61,0,7.72,EG,1688902436
181,umm al quwain city,25.5647,55.5552,40.18,74,1,4.47,AE,1688902436
182,kudahuvadhoo,2.6708,72.8944,28.38,70,32,4.13,MV,1688902437
183,iskateley,67.6803,53.1512,7.91,70,96,6.0,RU,1688902437
184,biryusinsk,55.9634,97.8235,21.3,87,96,0.87,RU,1688902437
185,dolores,-36.3132,-57.6792,10.57,92,100,1.64,AR,1688902265
186,puerto baquerizo moreno,-0.9,-89.6,24.57,81,60,5.22,EC,1688902437
187,kodiak,57.79,-152.4072,9.73,87,100,3.09,US,1688902437
188,constantia,44.1833,28.65,29.38,30,97,9.39,RO,1688902438
189,codrington,-38.2667,141.9667,12.45,79,100,5.57,AU,1688902438
190,hadibu,12.65,54.0333,29.13,55,54,10.01,YE,1688902438
191,tilcara,-23.5776,-65.3509,7.63,8,100,3.97,AR,1688902438
192,susuman,62.7833,148.1667,2.16,89,100,2.85,RU,1688902438
193,vegreville,53.5001,-112.0518,14.17,93,14,1.54,CA,1688902438
194,mahaddayweyne,2.9726,45.5347,29.86,50,87,9.65,SO,1688902439
195,mont-de-marsan,44.0,-0.6667,28.16,70,13,3.6,FR,1688902215
196,sena madureira,-9.0656,-68.6569,22.43,97,32,1.05,BR,1688902439
197,keflavik,64.0049,-22.5624,17.24,51,0,4.12,IS,1688902439
198,qala i naw,34.9874,63.1289,33.76,13,0,7.8,AF,1688902439
199,spring creek,40.7266,-115.5859,19.61,46,0,1.48,US,1688902439
200,la passe,45.5549,-0.8967,26.68,58,80,4.75,FR,1688902440
201,cill airne,52.05,-9.5167,17.03,72,75,5.14,IE,1688902257
202,polyarnyy,69.1989,33.4478,8.31,69,81,5.01,RU,1688902440
203,lorengau,-2.0226,147.2712,25.87,88,100,4.02,PG,1688902440
204,san patricio,28.017,-97.5169,28.92,94,7,3.41,US,1688902440
205,ndele,8.4109,20.6473,28.84,64,100,0.56,CF,1688902440
206,palmerston north,-40.35,175.6167,10.43,97,100,1.46,NZ,1688902440
207,gonzalez,30.5816,-87.2914,27.49,93,0,1.54,US,1688902441
208,gadzhiyevo,69.2551,33.3362,6.98,73,95,3.96,RU,1688902441
209,maintirano,-18.0667,44.0167,25.64,58,26,5.78,MG,1688902441
210,olonkinbyen,70.9221,-8.7187,4.39,92,46,5.75,SJ,1688902441
211,port saint john's,-31.6229,29.5448,19.04,23,45,5.71,ZA,1688902441
212,st. john's,47.5649,-52.7093,16.66,97,75,2.06,CA,1688902441
213,zaragoza,41.6561,-0.8773,31.36,41,0,2.57,ES,1688902010
